Date,Product_ID,Product_Name,Categories,Units_Sold,Stock_Level,Reorder_Level,Unit_Price,Total_Sales,Supplier,Lead_Time_Days,Forecasted_Demand,Stock_Status,Category_Demand_Score
1/1/2024,SP001,Smartphone X1,Smartphones,50,200.0,100.0,699.99,34999.5,TechTrend,7,55,Normal,0.85
1/1/2024,SP002,Wireless Earbuds E2,Audio Devices,30,150.0,50.0,129.99,3899.7,SoundWave,5,35,Normal,0.75
1/1/2024,SP003,Smart TV T3,Televisions,10,80.0,30.0,799.99,7999.9,VisionTech,10,12,Normal,0.65
1/1/2024,SP004,Laptop L4,Laptops,15,100.0,40.0,1099.99,16499.85,CompTech,8,18,Normal,0.8
1/1/2024,SP005,Smartwatch W5,Wearables,25,120.0,60.0,199.99,4999.75,GearFit,6,28,Normal,0.7
1/1/2024,SP006,Bluetooth Speaker S6,Audio Devices,20,90.0,40.0,89.99,1799.8,SoundWave,5,22,Normal,0.75
1/1/2024,SP007,Tablet T7,Tablets,12,70.0,30.0,349.99,4199.88,TechTrend,7,15,Normal,0.68
1/1/2024,SP008,Gaming Console G8,Gaming Devices,8,50.0,20.0,499.99,3999.92,GameZone,10,10,Normal,0.6
1/1/2024,SP009,Wireless Charger C9,Accessories,40,200.0,80.0,29.99,1199.6,TechTrend,4,45,Normal,0.55
1/1/2024,SP010,Smart Home Hub H10,Smart Home Devices,5,60.0,25.0,149.99,749.95,SmartTech,6,8,Normal,0.5
1/2/2024,SP001,Smartphone X1,Smartphones,55,145.0,100.0,699.99,38499.45,TechTrend,7,60,Normal,0.85
1/2/2024,SP002,Wireless Earbuds E2,Audio Devices,35,115.0,50.0,129.99,4549.65,SoundWave,5,40,Normal,0.75
1/2/2024,SP003,Smart TV T3,Televisions,12,68.0,30.0,799.99,9599.88,VisionTech,10,14,Normal,0.65
1/2/2024,SP004,Laptop L4,Laptops,18,82.0,40.0,1099.99,19799.82,CompTech,8,20,Normal,0.8
1/2/2024,SP005,Smartwatch W5,Wearables,28,92.0,60.0,199.99,5599.72,GearFit,6,30,Normal,0.7
1/2/2024,SP006,Bluetooth Speaker S6,Audio Devices,22,68.0,40.0,89.99,1979.78,SoundWave,5,25,Normal,0.75
1/2/2024,SP007,Tablet T7,Tablets,15,55.0,30.0,349.99,5249.85,TechTrend,7,18,Normal,0.68
